Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose
12/14/2020,Allegheny,15,3,,
12/14/2020,Beaver,1,,,
12/14/2020,Berks,1,,,
12/14/2020,Bucks,5,,,
12/14/2020,Chester,2,,,
12/14/2020,Delaware,1,,,
12/14/2020,Erie,2,,,
12/14/2020,Franklin,1,,,
12/14/2020,Lackawanna,1,,,
12/14/2020,Lancaster,4,,,
12/14/2020,Lehigh,4,,,
12/14/2020,Luzerne,2,,,
12/14/2020,Lycoming,1,,,
12/14/2020,Mifflin,1,,,
06/12/2022,Columbia,1,1,,7
12/14/2020,Montour,1,,,
12/14/2020,Pike,2,,,
12/14/2020,Schuylkill,1,,,
12/14/2020,Union,1,,,
12/14/2020,Washington,1,,,
12/14/2020,Westmoreland,3,,,
12/14/2020,York,1,,,
12/14/2020,Out-of-State,2,,,
12/15/2020,Adams,1,,,
08/03/2021,Berks,339,308,,
12/15/2020,Berks,1,,,
12/15/2020,Butler,1,,,
12/15/2020,Cambria,1,1,,
12/15/2020,Centre,6,,,
12/15/2020,Crawford,10,,,
12/15/2020,Cumberland,2,,,
12/15/2020,Dauphin,2,,,
12/15/2020,Erie,2,,,
12/15/2020,Fayette,1,,,
12/15/2020,Franklin,2,,,
12/15/2020,Greene,1,,,
12/15/2020,Lackawanna,5,,,
12/15/2020,Lawrence,1,,,
12/15/2020,Lehigh,5,,,
12/15/2020,Luzerne,3,,,
12/15/2020,Mifflin,1,,,
12/15/2020,Monroe,2,,,
01/18/2022,Lycoming,57,65,113,
12/15/2020,Montour,1,,,
12/15/2020,Northampton,3,,,
12/15/2020,Northumberland,1,,,
12/02/2021,Venango,67,38,163,
12/15/2020,Schuylkill,2,,,
12/15/2020,Union,2,,,
12/15/2020,Venango,1,,,
12/15/2020,Washington,3,,,
12/15/2020,Wayne,1,,,
09/22/2021,Butler,81,122,62,
12/15/2020,York,2,,,
12/15/2020,Out-of-State,9,,,
12/16/2020,Adams,1,,,
02/09/2021,Crawford,133,46,,
12/16/2020,Beaver,3,,,
12/16/2020,Bedford,1,,,
10/13/2021,Bradford,40,23,53,
12/16/2020,Blair,1,,,
