"CTYNAME","pop2022","GrowthRate","popDensity"
"Philadelphia County","1585480","3.7428","11816.2470"
"Allegheny County","1212340","-0.9494","1660.5656"
"Montgomery County","842888","5.2460","1744.9952"
"Bucks County","629644","0.6810","1041.8150"
"Delaware County","571295","2.2029","3107.0209"
"Lancaster County","550989","5.8945","583.7831"
"Chester County","533698","6.7556","711.1104"
"York County","452691","3.9682","500.6500"
"Berks County","423069","2.6769","494.0143"
"Lehigh County","372195","6.2916","1078.2983"
"Westmoreland County","344219","-5.7007","334.9864"
"Luzerne County","316091","-1.5287","355.0221"
"Northampton County","307448","3.1930","831.6791"
"Dauphin County","282604","5.3388","538.2341"
"Erie County","264280","-5.8829","330.6752"
"Cumberland County","260087","10.2596","476.7879"
"Lackawanna County","207889","-3.0825","453.1417"
"Washington County","206406","-0.7368","240.8503"
"Butler County","188498","2.3806","239.0302"
"Monroe County","173202","1.9741","284.7185"
"Beaver County","161970","-5.0753","372.5907"
"Centre County","161737","4.8674","145.7191"
"Franklin County","156371","4.2995","202.4942"
"Lebanon County","143155","7.1006","395.6403"
"Schuylkill County","139991","-5.5952","179.7911"
"Cambria County","126421","-11.8778","183.6575"
"Fayette County","126127","-7.5593","159.5860"
"Blair County","119807","-5.6972","227.8567"
"Lycoming County","111598","-3.9811","90.8334"
"Mercer County","106283","-8.8521","158.0225"
"Adams County","102850","1.3510","198.2881"
"Northumberland County","90132","-4.4128","196.6370"
"Lawrence County","83664","-8.0797","233.5903"
"Crawford County","83186","-6.1254","82.1752"
"Indiana County","82969","-6.6316","100.3215"
"Clearfield County","78304","-3.9745","68.4044"
"Somerset County","72172","-7.1850","67.1763"
"Columbia County","64211","-4.6692","132.9127"
"Carbon County","64203","-1.6016","168.3085"
"Armstrong County","62884","-8.8387","96.2703"
"Bradford County","58910","-6.0911","51.3422"
"Pike County","55896","-2.5506","102.5689"
"Wayne County","51259","-3.0434","70.6432"
"Venango County","49069","-10.7382","72.7720"
"Bedford County","47270","-4.8874","46.6958"
"Perry County","46626","1.5352","84.5525"
"Mifflin County","45919","-1.5480","111.7167"
"Union County","44641","-0.8000","141.2754"
"Huntingdon County","44391","-3.4852","50.7528"
"Jefferson County","42858","-5.1037","65.6899"
"Tioga County","40294","-4.0025","35.5396"
"Snyder County","39934","0.5692","121.4717"
"McKean County","39650","-8.5246","40.4924"
"Susquehanna County","39632","-8.5598","48.1257"
"Clinton County","38440","-2.0961","43.2891"
"Warren County","38111","-8.7621","43.1051"
"Clarion County","37736","-5.4780","62.8060"
"Greene County","34949","-9.4750","60.6807"
"Elk County","29310","-8.0067","35.4258"
"Wyoming County","25915","-8.2363","65.2274"
"Juniata County","24898","1.1045","63.6207"
"Montour County","18200","-0.5519","139.7394"
"Potter County","16235","-6.9841","15.0141"
"Fulton County","14545","-2.1330","33.2418"
"Forest County","7136","-7.3968","16.7014"
"Sullivan County","6036","-5.7905","13.4151"
"Cameron County","4285","-15.6662","10.8144"
