,County,TotalUniqueVaccinesAdministered,TotalCovidCases,Population
0,adams,61067,6710759,102850
1,allegheny,933812,70605124,1212340
2,armstrong,43241,4214624,62884
3,beaver,99800,10948740,161970
4,bedford,19242,3095191,47270
5,berks,281482,28826124,423069
6,blair,63387,8341372,119807
7,bradford,28573,4130631,58910
8,bucks,490602,35277183,629644
9,butler,129332,12224869,188498
10,cambria,78145,9532963,126421
11,cameron,2636,227277,4285
12,carbon,39814,4367627,64203
13,centre,105823,9965415,161737
14,chester,439134,25568737,533698
15,clarion,16990,2283031,37736
16,clearfield,40119,5387042,78304
17,clinton,20238,2483920,38440
18,columbia,42955,4074098,64211
19,crawford,43656,5425340,83186
20,cumberland,195773,13911411,260087
21,dauphin,197662,16549657,282604
22,delaware,460138,31012251,571295
23,elk,16450,1964646,29310
24,erie,179292,15378208,264280
25,fayette,76740,8578059,126127
26,forest,5629,689210,7136
27,franklin,83343,10889203,156371
28,fulton,4882,1100368,14545
29,greene,17866,2318993,34949
30,huntingdon,24300,3209351,44391
31,indiana,40461,4650440,82969
32,jefferson,20811,2444279,42858
33,juniata,10805,1348497,24898
34,lackawanna,159801,11852844,207889
35,lancaster,343523,34136238,550989
36,lawrence,49394,5249030,83664
37,lebanon,85659,10172751,143155
38,lehigh,288375,24792037,372195
39,luzerne,224580,20397687,316091
40,lycoming,68434,7918745,111598
41,mckean,21331,2330459,39650
42,mercer,60007,6518093,106283
43,mifflin,25923,3410933,45919
44,monroe,107159,10086655,173202
45,montgomery,711533,42800412,842888
46,montour,16702,1251692,18200
47,northampton,214940,22283953,307448
48,northumberland,59314,6305418,90132
49,perry,25023,2475152,46133
50,philadelphia,1117891,88213358,46626
51,pike,32119,2754034,1585480
52,potter,7471,885292,55896
53,schuylkill,90751,9542121,16235
54,snyder,19456,2271983,139991
55,somerset,38154,5176809,39934
56,sullivan,3426,292427,72172
57,susquehanna,18949,2062884,6036
58,tioga,20320,2215405,39632
59,union,25531,3390375,40294
60,venango,26304,3091028,44641
61,warren,20398,1997243,49069
62,washington,138976,13456803,38111
63,wayne,32836,2807095,206406
64,westmoreland,207785,22116205,51259
65,wyoming,17871,1395086,344219
66,york,293371,32074660,25915
